# time stamp,yA,yB,yC,yD,yE,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,defect9,defect10
0.000000,5.545664,178.804639,3.858233,147.013758,25.697174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200401,2.988458,179.419774,59.081233,151.501687,23.576650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400802,2.213573,172.547791,82.085428,141.944947,21.268106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.601202,2.107409,172.732378,105.670465,141.923776,24.147496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.801603,1.862918,177.808303,115.242570,137.620027,27.328434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.002004,0.597792,172.620666,124.433901,138.023838,22.469975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.202405,6.335898,178.694293,128.674193,137.064818,26.879430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.402806,7.403589,182.009599,136.581045,141.195905,26.234207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.603206,5.644242,181.009174,150.435240,139.417631,29.039225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.803607,8.355931,178.689427,154.732613,134.751885,25.633488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.004008,3.622115,175.826259,151.825136,135.221114,27.670031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.204409,9.538792,175.215139,164.821718,133.195856,27.175678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.404810,0.890792,178.002780,165.286999,131.241390,25.233957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.605210,5.976390,177.176023,165.016198,126.316836,27.210014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.805611,1.958452,177.982954,175.507140,129.589343,27.997069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.006012,7.028299,182.919583,173.783382,126.862491,29.418609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.206413,4.940507,183.640985,182.584455,129.191868,20.974212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.406814,9.296808,179.836258,175.535252,122.068133,22.924198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.607214,5.487050,182.947437,179.271905,125.702881,26.055756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.807615,3.482682,182.679608,187.566631,125.097469,26.700167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.008016,6.714867,185.714563,186.137139,123.257090,24.966841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.208417,3.299403,181.990766,188.815228,122.005696,25.662021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.408818,2.463162,180.295195,191.546039,124.422698,26.256216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.609218,0.469865,178.489421,189.499502,119.304032,26.229214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.809619,9.553581,187.892522,194.704887,118.718585,26.659450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.010020,6.455705,179.581980,203.151604,122.530949,25.652375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.210421,2.305434,184.096290,203.459636,117.680397,24.112149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.410822,4.645434,183.049527,204.665946,112.246605,20.769964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.611222,7.335438,184.953145,204.651334,113.920300,20.185790,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.811623,7.260652,187.418477,206.038888,114.886292,23.634887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.012024,6.320578,186.205468,202.156763,110.729585,21.420976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.212425,4.978876,180.051563,207.968411,107.964797,20.490142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.412826,3.811379,186.986895,207.209134,109.210366,28.408641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.613226,7.637118,184.085142,209.646642,113.732262,23.563764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.813627,1.042514,186.773741,214.029372,111.855277,24.276385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.014028,3.713564,182.469887,215.059973,109.503384,20.348203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.214429,6.690607,189.502709,215.368013,112.555987,28.957148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.414830,2.818326,183.304478,213.880981,104.997885,23.908656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.615230,10.067772,184.046660,214.499467,104.572409,28.026204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.815631,5.233663,189.799127,222.550875,103.032496,21.462565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.016032,2.701881,185.993240,220.197236,110.671006,27.872107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.216433,4.583276,186.878045,223.646894,110.817337,24.205360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.416834,5.818367,188.840950,218.532494,107.122033,28.874500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.617234,9.863387,182.736449,220.310610,104.722288,26.109629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.817635,9.359907,186.551855,219.638244,100.837411,25.885546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.018036,10.290253,186.111127,226.063319,103.430629,21.681640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.218437,1.720641,180.350544,228.807633,104.411806,25.363217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.418838,2.211558,184.308649,229.849316,103.600925,28.208012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.619238,7.821347,188.460815,225.267110,104.956492,25.381787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.819639,2.628912,186.252450,224.881736,100.825847,20.589895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.020040,3.356992,185.845494,231.963356,99.781267,25.462788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.220441,9.211730,185.768640,225.146209,96.050045,23.748414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.420842,6.787924,183.742711,226.685056,96.465285,26.982265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.621242,5.651747,184.541563,227.742430,97.097580,28.104504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.821643,10.524791,178.904603,232.210863,94.347445,29.289461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.022044,12.193487,178.563210,231.797012,102.663947,20.527638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.222445,16.853803,178.642780,236.316097,101.328867,23.675052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.422846,9.740171,178.026670,238.258858,99.746758,21.400174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.623246,16.323734,177.487550,231.080717,92.423278,28.486893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.823647,20.933047,184.371118,239.364564,92.235858,27.427221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
